Timestamp,Q1,Q2,Location,Discussion,Latency
2026-08-23 21:11,N/A,N/A,Greater Accra,Latency Test Log,118.9
2026-08-23 21:18,N/A,N/A,Ashanti (Kumasi),Latency Test Log,120.9
2026-08-23 21:20,N/A,N/A,Ashanti (Kumasi),Latency Test Log,111.6
2026-08-23 21:23,N/A,N/A,Volta (Ho),Latency Test Log,156.9
2026-08-23 21:24,N/A,N/A,Kasoa,Hello,0.0
2026-08-23 21:25,N/A,N/A,Ashanti (Kumasi),Latency Test Log,131.5
2026-08-23 22:12,N/A,N/A,Ghana,Fraud Protection Vote: Yes,0.0
2026-08-23 22:13,N/A,N/A,Greater Accra,Latency Test Log,142.1
2026-08-23 22:18,N/A,N/A,Greater Accra,Speed Test Log | Download: 204.16 Mbps | Upload: 103.68 Mbps,0.0
2026-08-23 22:18,N/A,N/A,Greater Accra,Speed Test Log | Download: 223.87 Mbps | Upload: 156.03 Mbps,0.0
2026-08-23 22:19,N/A,N/A,Greater Accra,Speed Test Log | Download: 205.22 Mbps | Upload: 69.95 Mbps,0.0
2026-08-23 22:19,N/A,N/A,Greater Accra,Speed Test Log | Download: 164.32 Mbps | Upload: 90.43 Mbps,0.0
2026-08-23 22:19,N/A,N/A,Greater Accra,Speed Test Log | Download: 203.69 Mbps | Upload: 15.97 Mbps,0.0
2026-08-23 22:19,N/A,N/A,Greater Accra,Speed Test Log | Download: 196.55 Mbps | Upload: 160.22 Mbps,0.0
2026-08-23 22:19,N/A,N/A,Greater Accra,Speed Test Log | Download: 156.19 Mbps | Upload: 110.6 Mbps,0.0
2026-08-23 22:19,N/A,N/A,Greater Accra,Speed Test Log | Download: 129.38 Mbps | Upload: 90.66 Mbps,0.0
2026-08-23 22:19,N/A,N/A,Greater Accra,Latency Test Log,138.0
2026-08-23 22:19,N/A,N/A,Central (Cape Coast),Latency Test Log,118.7
2026-08-23 22:19,N/A,N/A,Central (Cape Coast),Latency Test Log,124.3
2026-08-23 22:46,N/A,N/A,Central (Cape Coast),Speed Test Log | Download: 193.08 Mbps | Upload: 151.62 Mbps,0.0
2026-08-23 22:46,N/A,N/A,Ghana,Fraud Protection Vote: Yes,0.0
2026-08-23 23:41,N/A,N/A,Ghana,Fraud Protection Vote: Yes,0.0
